Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2015;Agustus;30;1.5;-0.8;4.7;16.9;1436;1694;9;97
2015;Agustus;31;2;2;-3.9;-3.9;2395;2395;0;0
2016;Juni;1;-2;-2.7;34.3;33.8;1688;1477;255;1150
2016;Juni;2;-4.1;-5.3;34.7;36;2155;1319;1700;2358
2016;Juni;3;-4.7;-1.1;32.8;22.2;948;1952;1954;655
2016;Juni;4;-2.7;-3.6;8.7;24.7;1188;1597;61;1964
2016;Juni;5;-2.6;-3.8;15.1;27.9;1622;1338;1;2460
2016;Juni;6;-2.4;-5.2;33;31.9;1508;1356;13;2847
2016;Juni;7;-2.6;-4.2;33;35.5;924;1119;686;2543
2016;Juni;8;-4;-3.5;30.9;28.2;1370;1210;1924;2129
2016;Juni;9;-1.1;-2.9;26.6;34.6;1364;1381;344;2033
2016;Juni;10;-3.9;-4;32.1;29.1;836;1612;1576;1717
2016;Juni;11;-3.1;-4.8;10.3;14.5;1843;1249;0;
2016;Juni;12;-4.2;-3.7;28.3;25.5;1529;1443;1652;1909
2016;Juni;13;-4.2;-4.7;27.9;30.7;2045;1299;1215;2412
2016;Juni;14;-3.4;-4.2;27.5;33.8;1282;1255;1;1660
2016;Juni;15;-1.9;-4.8;32.2;37.1;1371;1263;665;
2016;Juni;16;-2.4;-1.5;32.3;33.9;1371;1167;997;90
2016;Juni;17;-4;-4.6;34.3;31.7;1340;1414;1187;2264
2016;Juni;18;-4.1;-4.7;;33.9;1420;1054;780;2698
2016;Juni;19;-4.6;-2.5;33.9;36.7;1098;1171;1605;465
2016;Juni;20;-2.5;-1.8;37.5;17.7;1125;1680;506;140
2016;Juni;21;0.4;-4.8;31.1;32.1;1376;1125;0;2380
2016;Juni;22;-3.2;-5.6;32.2;25.3;921;1120;1000;1925
2016;Juni;23;-5.2;-4.1;27.9;17.3;961;1432;1830;65
2016;Juni;24;-4.1;-3.9;38.4;33.8;1050;1068;143;2594
2016;Juni;25;-3;-4.8;28.5;36.1;1325;1568;11;2311
2016;Juni;26;-1.7;-3.9;22.1;18.9;1178;1287;723;2089
2016;Juni;27;-2.3;-4.5;29.8;35.7;1343;1509;17;1901
2016;Juni;28;-2.8;-3.5;34.7;34;1225;1247;873;1755
2016;Juni;29;-3.5;-2.6;37.6;37.9;1338;853;1466;1112
