Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2014;Mei;26;-1;-4.7;35.8;33.7;1062;1205;467;3156
2014;Mei;27;-7.1;-2.6;30.7;34.1;1571;1423;4778;1057
2014;Mei;28;-3;-3.5;32.2;22.3;1091;1812;2217;1728
2014;Mei;29;-1.7;-3.8;29.7;34.1;1628;1327;1;1359
2014;Mei;30;-3.4;-3;21;24.6;1080;1375;827;1025
2014;Mei;31;0.1;1.4;16.1;21;2058;1674;34;6
2015;Maret;1;-2.5;-1.1;33.9;38.8;1286;905;694;137
2015;Maret;2;-1;-0.1;29.9;37.6;1787;1112;0;134
2015;Maret;3;-3;-3.2;31.6;38.1;1464;1003;730;1359
2015;Maret;4;-2.7;1.4;31.8;32.7;1361;899;65;0
2015;Maret;5;-2;-5.1;35.1;35.7;1583;1297;409;2128
2015;Maret;6;-2.7;-2.6;34.3;35.8;1316;1483;699;658
2015;Maret;7;-1.6;-2;34.6;34.7;1289;1112;771;737
2015;Maret;8;-3.7;-2.3;36.5;32.7;1172;1675;1532;607
2015;Maret;9;-3.1;-2.2;29.5;30.6;1950;1458;929;989
2015;Maret;10;-4.4;-2.2;32;32.5;1317;1773;1764;5
2015;Maret;11;-2.1;-5.9;36.3;37.8;1220;1760;758;3066
2015;Maret;12;-2.5;-2.8;36.8;33.5;1511;1442;1333;828
2015;Maret;13;-1.9;-3.7;31.4;38.5;1441;1323;4;1352
2015;Maret;14;-4.1;-2.4;36.6;33.2;1452;1041;1818;764
2015;Maret;15;-1.5;-2;32.2;37.2;1667;760;733;459
2015;Maret;16;-1.8;-8.3;32.8;40.4;1526;1083;630;3545
2015;Maret;17;-1.9;-2.2;29.1;37.2;1602;1252;783;1522
2015;Maret;18;-4;0.2;36.7;37.3;1221;1093;1634;55
2015;Maret;19;-1.1;-4.9;36.2;33.9;1899;1492;388;2794
2015;Maret;20;-4;-3.2;37.8;36.5;1608;1490;1172;1581
2015;Maret;21;-3.7;-5.6;36.3;33.9;1583;1271;108;3117
2015;Maret;22;-4.1;-3;37.4;36.5;1158;1638;1719;663
2015;Maret;23;-1.7;-4.3;35.9;35;1394;1203;859;1893
2015;Maret;24;-2.8;-6.2;30;30.3;1365;1375;1510;3605
2015;Maret;25;-4.4;-2.3;31.8;30.2;1330;1098;1548;849
2015;Maret;26;-2;-6.3;29.5;34.9;1404;1501;1386;2661
2015;Maret;27;-3.6;-4.4;29.9;26.9;1153;1537;1915;2165
2015;Maret;28;-3.8;-2.6;35.5;27.6;1106;1957;1252;972
